Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288568883197884,0.20148945234322468,0.00017836995328054613,0.0010319483115541622,8.871226524087218e-08,4.0101582716805216e-07,9.079189300809695e-10,9.375895474365323e-09,3.257939083989413e-05,0.017844407791130484,6.462494509351238e-07,0.0003539642221658554,0.18248779964671813
0.2,1,1,0.2,0.05224196970501641,0.08458973763688782,6.0551713375279025e-05,0.00030270299094207163,6.420089287870671e-08,2.650188774529574e-07,1.008423041713349e-09,9.37657295993368e-09,3.258051231024346e-05,0.017845022043690865,6.462579231341312e-07,0.00035396886256489535,0.08107779334958143
0.2,1,3,0.2,0.009051858777477906,0.014581841341779977,1.1053058368493116e-05,5.628430508768448e-05,1.634946018432347e-08,7.131357455508183e-08,1.0251862499002618e-09,9.37666054898576e-09,3.258057189812954e-05,0.01784505468121143,6.462579044387155e-07,0.00035396885232502856,0.01468415244750399
0.2,1,5,0.2,0.0015870670530765464,0.002556771685178205,1.9787120769801602e-06,1.0109589713130224e-05,2.882994296164897e-09,1.2589531954584031e-08,1.0221018956714319e-09,9.376643712098207e-09,3.258056116358348e-05,0.01784504880167801,6.462579077452537e-07,0.0003539688541360881,0.0025527733043243014
0.2,1,7,0.2,0.0002821802469388725,0.00045461704324090135,3.5262681884016595e-07,1.8031014084544245e-06,5.123602088011617e-10,2.2372973210930784e-09,1.0226536234252207e-09,9.376651921139911e-09,3.25805630809323e-05,0.017845049851849707,6.46257907157507e-07,0.000353968853814167,0.0004545903189081894
0.2,1,9,0.2,5.0205913713245545e-05,8.088648714021929e-05,6.27888091172356e-08,3.2110754357751736e-07,9.114938447560122e-11,3.9801399155658945e-10,1.0225552694675445e-09,9.376648171852958e-09,3.2580562739409016e-05,0.017845049664790325,6.462579072618916e-07,0.0003539688538713407,8.086026275814061e-05
0.2,1,11,0.2,8.937118974533929e-06,1.4398568875861883e-05,1.1178119458130279e-08,5.716781291582873e-08,1.6224417585939688e-11,7.08439645922404e-11,1.0225727821583707e-09,9.376648206851547e-09,3.258056280023216e-05,0.017845049698104423,6.462579072426248e-07,0.0003539688538607878,1.4394504151327286e-05
0.2,1,13,0.2,1.5909435233766814e-06,2.563164940738716e-06,1.989896126105806e-09,1.0177119017309999e-08,2.8868694995015242e-12,1.2604892525797454e-11,1.0225696643612296e-09,9.376651753334619e-09,3.258056278937171e-05,0.017845049692155925,6.462579072466434e-07,0.0003539688538629889,2.5620959877921015e-06
0.2,1,15,0.2,2.83196247754741e-07,4.562583537648379e-07,3.5418457525716293e-10,1.811585463237786e-09,5.126779324911212e-13,2.237823316410259e-12,1.0225702193432915e-09,9.376648201730093e-09,3.25805627913023e-05,0.017845049693213353,6.46257907246012e-07,0.00035396885386264305,4.5593944602238993e-07
0.2,1,17,0.2,5.039820948108665e-08,8.11977063364111e-08,6.275349858141634e-11,3.210986997126408e-10,9.457521879736345e-14,4.151451047079008e-13,1.0225701207303623e-09,9.376648201533352e-09,3.258056279095016e-05,0.01784504969302048,6.462579072459062e-07,0.0003539688538625851,8.062194900509672e-08
